product_name,stars,rating,reviews,curr_price,mrp,processor,ram,image
ASUS Chromebook Celeron Dual Core,3.6,419,53,13990,24990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/kwnv6a80/computer/9/c/i/-original-imag9aajekwegabt.jpeg?q=70
HP Athlon Dual Core 3050U,4,129,13,22490,30099,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/u/a/255-g8-notebook-hp-original-imagjhbj4jf3pjdy.jpeg?q=70
Infinix INBook Y1 Plus Intel Core i3 10th Gen,4.1,1738,235,27990,44990,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/u/k/-original-imagmxuravjcmdwu.jpeg?q=70
Primebook 4G Android Based MediaTek MT8788,4.1,1507,477,13990,24990,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/k/-original-imagzzsh3afavghf.jpeg?q=70
Primebook 4G enabled Android based MediaTek MT8788,4,21,5,14990,27990,MediaTek MediaTek MT8788 Processor,4 GB LPDDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/d/u/s-4g-thin-and-light-laptop-primebook-original-imagraab4g5uh39r.jpeg?q=70
Lenovo Ryzen 3 Quad Core 7320U,4.1,12,2,39990,59390,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/u/x/15amn7-thin-and-light-laptop-lenovo-original-imagz3rwynfugcnz.jpeg?q=70
ASUS EeeBook 12 Celeron Dual Core,3.7,117,14,20990,27990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/l3t2fm80/computer/w/y/7/-original-imageuecxufgrnab.jpeg?q=70
HP 14s (2023) Backlit Intel Core i3 11th Gen,4.3,3615,313,39990,50564,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/p/q/-original-imagp8xzzpsxvpgx.jpeg?q=70
Lenovo Thinkbook Core i5 12th Gen,3.9,20,5,48990,64029,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/c/g/tb15-g4-iap-thin-and-light-laptop-lenovo-original-imagpjfbryrdvhcy.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.2,2651,293,35890,47147,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/u/6/-original-imagp7pfd65hfses.jpeg?q=70
AXL Celeron Dual Core,3.7,47,8,15999,31990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/b/q/axl-vayu-book-thin-and-light-laptop-axl-original-imagrehvpjhwkdcd.jpeg?q=70
Lenovo V15 Ryzen 3 Hexa Core 5300U,4.1,141,13,33300,55000,AMD Ryzen 3 Hexa Core Processor,8 GB DDR4 RAM,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70
